date,trade_date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
8/27,2026-08-27,0050,凱基-台北,9268,11747,5002,6745,9.93,1,buy
8/27,2026-08-27,0050,國泰-敦南,8888,1293,3378,-2085,3.07,1,sell
8/27,2026-08-27,0050,凱基,9200,2711,41,2670,3.93,2,buy
8/27,2026-08-27,0050,兆豐-大同,0037003000300053,8,605,-597,0.88,2,sell
8/27,2026-08-27,0050,元大證券,9800,4285,1684,2601,3.83,3,buy
8/27,2026-08-27,0050,國票-敦北法人,0037003700390063,5,504,-499,0.73,3,sell
8/27,2026-08-27,0050,台灣摩根士丹利,1470,2491,72,2419,3.56,4,buy
8/27,2026-08-27,0050,臺銀-臺中,0031003000340041,35,402,-367,0.54,4,sell
8/27,2026-08-27,0050,美商高盛,1480,1912,105,1807,2.66,5,buy
8/27,2026-08-27,0050,玉山-台中,0038003800340042,54,344,-290,0.43,5,sell
8/27,2026-08-27,0050,台新,0039004200300030,2318,856,1462,2.15,6,buy
8/27,2026-08-27,0050,元大-大里,0039003800310067,23,290,-267,0.39,6,sell
8/27,2026-08-27,0050,中國信託,6160,1938,521,1417,2.09,7,buy
8/27,2026-08-27,0050,台新-成功,003900420032006d,30,280,-250,0.37,7,sell
8/27,2026-08-27,0050,富邦證券,9600,1965,930,1035,1.52,8,buy
8/27,2026-08-27,0050,元大-松山,0039003800310070,13,258,-245,0.36,8,sell
8/27,2026-08-27,0050,群益金鼎,9100,925,41,884,1.3,9,buy
8/27,2026-08-27,0050,國泰-台中,8882,208,449,-241,0.35,9,sell
8/27,2026-08-27,0050,玉山證券,8840,1016,200,816,1.2,10,buy
8/27,2026-08-27,0050,新光,8560,207,441,-234,0.34,10,sell
8/27,2026-08-27,0050,國泰證券,8880,851,51,800,1.18,11,buy
8/27,2026-08-27,0050,國泰-高雄,8881,87,305,-218,0.32,11,sell
8/27,2026-08-27,0050,康和,8450,628,7,621,0.91,12,buy
8/27,2026-08-27,0050,台新-台中,0039004200310068,75,270,-195,0.29,12,sell
8/27,2026-08-27,0050,元大-館前,003900380034004b,425,31,394,0.58,13,buy
8/27,2026-08-27,0050,元大-竹科,003900380030004b,46,220,-174,0.26,13,sell
8/27,2026-08-27,0050,兆豐證券,7000,321,36,285,0.42,14,buy
8/27,2026-08-27,0050,永豐金證券,0039004100300030,15244,15416,-172,0.25,14,sell
8/27,2026-08-27,0050,元大-新竹,9816,295,40,255,0.38,15,buy
8/27,2026-08-27,0050,富邦-建國,9658,85,252,-167,0.25,15,sell
8/27,2026-08-27,0051,元大證券,9800,22,1,21,60.0,1,buy
8/27,2026-08-27,0051,台新-虎尾,003900420032004e,0,3,-3,8.57,1,sell
8/27,2026-08-27,0051,國泰-台中,8882,3,1,2,5.71,2,buy
