date,trade_date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
9/03,2026-09-03,0050,凱基,9200,3317,21,3296,6.75,1,buy
9/03,2026-09-03,0050,元大證券,9800,2497,8055,-5558,11.39,1,sell
9/03,2026-09-03,0050,永豐金證券,0039004100300030,3364,890,2474,5.07,2,buy
9/03,2026-09-03,0050,凱基-台北,9268,6260,9183,-2923,5.99,2,sell
9/03,2026-09-03,0050,國泰證券,8880,2206,420,1786,3.66,3,buy
9/03,2026-09-03,0050,新加坡商瑞銀,1650,254,1669,-1415,2.9,3,sell
9/03,2026-09-03,0050,富邦證券,9600,1234,171,1063,2.18,4,buy
9/03,2026-09-03,0050,港商麥格理,1360,0,1026,-1026,2.1,4,sell
9/03,2026-09-03,0050,中國信託,6160,1790,1101,689,1.41,5,buy
9/03,2026-09-03,0050,華南永昌,9300,391,959,-568,1.16,5,sell
9/03,2026-09-03,0050,第一金,5380,485,34,451,0.92,6,buy
9/03,2026-09-03,0050,美商高盛,1480,321,745,-424,0.87,6,sell
9/03,2026-09-03,0050,元大-復北,9872,462,41,421,0.86,7,buy
9/03,2026-09-03,0050,國票證券,7790,26,428,-402,0.82,7,sell
9/03,2026-09-03,0050,國票-敦北法人,0037003700390063,420,18,402,0.82,8,buy
9/03,2026-09-03,0050,兆豐-台中,7003,41,396,-355,0.73,8,sell
9/03,2026-09-03,0050,凱基-站前,0039003200300046,470,89,381,0.78,9,buy
9/03,2026-09-03,0050,統一,5850,35,386,-351,0.72,9,sell
9/03,2026-09-03,0050,合庫證券,1020,355,68,287,0.59,10,buy
9/03,2026-09-03,0050,永豐金-忠孝,0039004100390044,20,317,-297,0.61,10,sell
9/03,2026-09-03,0050,國泰-新莊,8886,323,66,257,0.53,11,buy
9/03,2026-09-03,0050,兆豐證券,7000,2,212,-210,0.43,11,sell
9/03,2026-09-03,0050,兆豐-民生,0037003000300063,179,1,178,0.36,12,buy
9/03,2026-09-03,0050,永豐金-內湖,0039004100390067,25,234,-209,0.43,12,sell
9/03,2026-09-03,0050,國泰-高雄,8881,292,126,166,0.34,13,buy
9/03,2026-09-03,0050,元大-蘆洲,9857,42,238,-196,0.4,13,sell
9/03,2026-09-03,0050,凱基-大直,9218,161,0,161,0.33,14,buy
9/03,2026-09-03,0050,玉山-大里,003800380034004a,92,258,-166,0.34,14,sell
9/03,2026-09-03,0050,中國信託-高雄,003600310036004b,750,603,147,0.3,15,buy
9/03,2026-09-03,0050,國泰-板橋,003800380038004b,161,324,-163,0.33,15,sell
9/03,2026-09-03,0051,中國信託,6160,25,0,25,40.98,1,buy
9/03,2026-09-03,0051,元大證券,9800,4,30,-26,42.62,1,sell
9/03,2026-09-03,0051,凱基-竹科,9272,3,0,3,4.92,2,buy
9/03,2026-09-03,0051,永豐金-竹北,0039004100390050,0,10,-10,16.39,2,sell
9/03,2026-09-03,0051,玉山-數位,003800380034004d,2,0,2,3.28,3,buy
9/03,2026-09-03,0051,國泰-台中,8882,1,4,-3,4.92,3,sell
9/03,2026-09-03,0051,永豐金證券,0039004100300030,3,1,2,3.28,4,buy
