date,trade_date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
9/09,2026-09-09,0050,永豐金證券,0039004100300030,8651,1650,7001,15.19,1,buy
9/09,2026-09-09,0050,凱基-台北,9268,5180,8079,-2899,6.29,1,sell
9/09,2026-09-09,0050,台灣摩根士丹利,1470,3635,32,3603,7.82,2,buy
9/09,2026-09-09,0050,中國信託,6160,995,2957,-1962,4.26,2,sell
9/09,2026-09-09,0050,凱基,9200,2780,157,2623,5.69,3,buy
9/09,2026-09-09,0050,元大證券,9800,1319,2570,-1251,2.71,3,sell
9/09,2026-09-09,0050,國泰證券,8880,608,74,534,1.16,4,buy
9/09,2026-09-09,0050,國泰-敦南,8888,1505,2216,-711,1.54,4,sell
9/09,2026-09-09,0050,富邦證券,9600,529,45,484,1.05,5,buy
9/09,2026-09-09,0050,台新,0039004200300030,324,861,-537,1.16,5,sell
9/09,2026-09-09,0050,元大-信義安和,0039003800300052,460,9,451,0.98,6,buy
9/09,2026-09-09,0050,元大-館前,003900380034004b,224,734,-510,1.11,6,sell
9/09,2026-09-09,0050,富邦-板橋,9655,476,179,297,0.64,7,buy
9/09,2026-09-09,0050,土銀,1030,11,212,-201,0.44,7,sell
9/09,2026-09-09,0050,康和,8450,249,32,217,0.47,8,buy
9/09,2026-09-09,0050,國泰-新莊,8886,56,241,-185,0.4,8,sell
9/09,2026-09-09,0050,兆豐-民生,0037003000300063,186,0,186,0.4,9,buy
9/09,2026-09-09,0050,新光-台中,8561,142,323,-181,0.39,9,sell
9/09,2026-09-09,0050,康和-板橋,0038003400350044,174,8,166,0.36,10,buy
9/09,2026-09-09,0050,元大-竹科,003900380030004b,42,221,-179,0.39,10,sell
9/09,2026-09-09,0050,富邦-新店,9661,288,132,156,0.34,11,buy
9/09,2026-09-09,0050,國泰-館前,0038003800380041,173,346,-173,0.38,11,sell
9/09,2026-09-09,0050,統一-宜蘭,0035003800350053,113,7,106,0.23,12,buy
9/09,2026-09-09,0050,新光,8560,265,426,-161,0.35,12,sell
9/09,2026-09-09,0050,凱基-彰化,0039003200300047,99,14,85,0.18,13,buy
9/09,2026-09-09,0050,華南永昌,9300,52,205,-153,0.33,13,sell
9/09,2026-09-09,0050,元大-東泰,9817,102,19,83,0.18,14,buy
9/09,2026-09-09,0050,國泰-桃園,8885,215,359,-144,0.31,14,sell
9/09,2026-09-09,0050,兆豐-公益,003700300030004a,87,16,71,0.15,15,buy
9/09,2026-09-09,0050,(牛牛牛)亞-鑫豐,0036003000310064,112,249,-137,0.3,15,sell
9/09,2026-09-09,0051,元大證券,9800,5,0,5,22.73,1,buy
9/09,2026-09-09,0051,群益金鼎-東湖,003900310038004b,0,3,-3,13.64,1,sell
9/09,2026-09-09,0051,國泰-台中,8882,5,3,2,9.09,2,buy
9/09,2026-09-09,0051,第一金-嘉義,003500330038004d,0,2,-2,9.09,2,sell
9/09,2026-09-09,0051,永豐金證券,0039004100300030,2,0,2,9.09,3,buy
9/09,2026-09-09,0051,國泰-敦南,8888,0,2,-2,9.09,3,sell
9/09,2026-09-09,0051,群益金鼎-天母,0039003100380050,1,0,1,4.55,4,buy
9/09,2026-09-09,0051,中國信託-文心,6164,0,1,-1,4.55,4,sell
9/09,2026-09-09,0051,華南永昌-長虹,9333,1,0,1,4.55,5,buy
9/09,2026-09-09,0051,凱基-台北,9268,0,1,-1,4.55,5,sell
9/09,2026-09-09,0051,台新,0039004200300030,1,0,1,4.55,6,buy
9/09,2026-09-09,0051,富邦-永和,9654,0,1,-1,4.55,6,sell
9/09,2026-09-09,0051,台新-五權西,0039004200320035,1,0,1,4.55,7,buy
9/09,2026-09-09,0051,元大-竹科,003900380030004b,0,1,-1,4.55,7,sell
9/09,2026-09-09,0051,國泰證券,8880,1,0,1,4.55,8,buy
9/09,2026-09-09,0051,永豐金-敦北,0039004100380039,0,1,-1,4.55,8,sell
9/09,2026-09-09,0051,兆豐-東門,0037003000300048,1,0,1,4.55,9,buy
9/09,2026-09-09,0051,台新-宜蘭,0039004200320055,0,1,-1,4.55,9,sell
9/09,2026-09-09,0051,富邦證券,9600,1,0,1,4.55,10,buy
9/09,2026-09-09,0051,永豐金-敦南,0039004100380046,0,1,-1,4.55,10,sell
9/09,2026-09-09,0051,統一-板橋,0035003800350050,0,0,0,0.0,11,buy
9/09,2026-09-09,0051,華南永昌-彰化,9363,0,1,-1,4.55,11,sell
9/09,2026-09-09,0051,凱基-松山,9217,0,0,0,0.0,12,buy
9/09,2026-09-09,0051,元大-天母,0039003800310049,0,1,-1,4.55,12,sell
9/09,2026-09-09,0051,富邦-中壢,9636,0,0,0,0.0,13,buy
