date,trade_date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
9/15,2026-09-15,0050,中國信託,6160,5182,514,4668,7.37,1,buy
9/15,2026-09-15,0050,法銀巴黎,8900,0,21863,-21863,34.5,1,sell
9/15,2026-09-15,0050,元大證券,9800,4720,1759,2961,4.67,2,buy
9/15,2026-09-15,0050,凱基-台北,9268,3296,10645,-7349,11.6,2,sell
9/15,2026-09-15,0050,國泰證券,8880,2385,19,2366,3.73,3,buy
9/15,2026-09-15,0050,富邦證券,9600,2462,7056,-4594,7.25,3,sell
9/15,2026-09-15,0050,國泰-敦南,8888,2844,1310,1534,2.42,4,buy
9/15,2026-09-15,0050,永豐金證券,0039004100300030,862,3935,-3073,4.85,4,sell
9/15,2026-09-15,0050,陽信-石牌,8711,919,5,914,1.44,5,buy
9/15,2026-09-15,0050,兆豐-鹿港,0037003000300066,24,593,-569,0.9,5,sell
9/15,2026-09-15,0050,統一,5850,931,27,904,1.43,6,buy
9/15,2026-09-15,0050,元大-中山北路,0039003800300061,39,218,-179,0.28,6,sell
9/15,2026-09-15,0050,台新,0039004200300030,1222,526,696,1.1,7,buy
9/15,2026-09-15,0050,永豐金-松山,0039004100390031,39,178,-139,0.22,7,sell
9/15,2026-09-15,0050,元大-館前,003900380034004b,730,104,626,0.99,8,buy
9/15,2026-09-15,0050,台灣摩根士丹利,1470,0,99,-99,0.16,8,sell
9/15,2026-09-15,0050,元大-彰化民生,003900380039004a,550,16,534,0.84,9,buy
9/15,2026-09-15,0050,國泰-台南,8884,240,333,-93,0.15,9,sell
9/15,2026-09-15,0050,群益金鼎,9100,559,25,534,0.84,10,buy
9/15,2026-09-15,0050,台新-新竹,0039004200320047,26,113,-87,0.14,10,sell
9/15,2026-09-15,0050,新光-高雄,8562,541,58,483,0.76,11,buy
9/15,2026-09-15,0050,富邦-竹科,0039003600320043,45,121,-76,0.12,11,sell
9/15,2026-09-15,0050,華南永昌,9300,458,32,426,0.67,12,buy
9/15,2026-09-15,0050,元大-大甲,0039003800390055,55,131,-76,0.12,12,sell
9/15,2026-09-15,0050,新加坡商瑞銀,1650,1157,738,419,0.66,13,buy
9/15,2026-09-15,0050,永豐金-中正,0039004100390055,104,179,-75,0.12,13,sell
9/15,2026-09-15,0050,凱基,9200,359,6,353,0.56,14,buy
9/15,2026-09-15,0050,元大-龍潭,9858,114,181,-67,0.11,14,sell
9/15,2026-09-15,0050,國泰-台中,8882,509,163,346,0.55,15,buy
9/15,2026-09-15,0050,國票-內壢,7798,20,80,-60,0.09,15,sell
9/15,2026-09-15,0051,第一金-安和,003500330038006a,36,0,36,29.75,1,buy
9/15,2026-09-15,0051,元大證券,9800,1,95,-94,77.69,1,sell
9/15,2026-09-15,0051,中國信託,6160,35,0,35,28.93,2,buy
9/15,2026-09-15,0051,元大-忠孝,9871,0,4,-4,3.31,2,sell
9/15,2026-09-15,0051,國泰證券,8880,4,0,4,3.31,3,buy
9/15,2026-09-15,0051,國泰-台中,8882,6,8,-2,1.65,3,sell
9/15,2026-09-15,0051,中國信託-忠孝,6162,3,0,3,2.48,4,buy
9/15,2026-09-15,0051,凱基-台北,9268,1,3,-2,1.65,4,sell
9/15,2026-09-15,0051,國泰-敦南,8888,2,0,2,1.65,5,buy
9/15,2026-09-15,0051,台新,0039004200300030,0,2,-2,1.65,5,sell
9/15,2026-09-15,0051,凱基-竹科,9272,2,0,2,1.65,6,buy
9/15,2026-09-15,0051,永豐金-市政,0039004100390057,0,1,-1,0.83,6,sell
9/15,2026-09-15,0051,永豐金-竹北,0039004100390050,2,0,2,1.65,7,buy
9/15,2026-09-15,0051,元大-文心興安,9854,0,1,-1,0.83,7,sell
9/15,2026-09-15,0051,合庫-高雄,1023,2,0,2,1.65,8,buy
9/15,2026-09-15,0051,華南永昌-彰化,9363,0,0,0,0.0,8,sell
9/15,2026-09-15,0051,臺銀,1040,2,0,2,1.65,9,buy
9/15,2026-09-15,0051,玉山-高雄,8843,0,0,0,0.0,9,sell
9/15,2026-09-15,0051,凱基,9200,7,5,2,1.65,10,buy
9/15,2026-09-15,0051,康和-板橋,0038003400350044,0,0,0,0.0,10,sell
9/15,2026-09-15,0051,國泰-台南,8884,1,0,1,0.83,11,buy
9/15,2026-09-15,0051,永豐金-高雄,0039004100390065,0,0,0,0.0,11,sell
9/15,2026-09-15,0051,中國信託-高雄,003600310036004b,1,0,1,0.83,12,buy
9/15,2026-09-15,0051,元大-大里,0039003800310067,0,0,0,0.0,12,sell
9/15,2026-09-15,0051,國泰-板橋,003800380038004b,1,0,1,0.83,13,buy
9/15,2026-09-15,0051,國泰-忠孝,8887,0,0,0,0.0,13,sell
9/15,2026-09-15,0051,群益金鼎-東湖,003900310038004b,1,0,1,0.83,14,buy
9/15,2026-09-15,0051,元大-鑫永和,9888,0,0,0,0.0,14,sell
9/15,2026-09-15,0051,群益金鼎-天母,0039003100380050,1,0,1,0.83,15,buy
9/15,2026-09-15,0051,臺銀-民權,1043,0,0,0,0.0,15,sell
9/15,2026-09-15,0052,中國信託,6160,1336,89,1247,11.69,1,buy
9/15,2026-09-15,0052,凱基-台北,9268,375,4328,-3953,37.04,1,sell
9/15,2026-09-15,0052,群益金鼎,9100,1291,239,1052,9.86,2,buy
9/15,2026-09-15,0052,永豐金證券,0039004100300030,128,1434,-1306,12.24,2,sell
9/15,2026-09-15,0052,凱基,9200,660,0,660,6.18,3,buy
9/15,2026-09-15,0052,康和,8450,5,255,-250,2.34,3,sell
9/15,2026-09-15,0052,元大證券,9800,797,360,437,4.1,4,buy
9/15,2026-09-15,0052,國票-內壢,7798,0,82,-82,0.77,4,sell
9/15,2026-09-15,0052,富邦證券,9600,378,42,336,3.15,5,buy
9/15,2026-09-15,0052,台新-三重,0039004200320033,3,85,-82,0.77,5,sell
9/15,2026-09-15,0052,國泰證券,8880,157,0,157,1.47,6,buy
9/15,2026-09-15,0052,永豐金-板新,003900410039004a,9,81,-72,0.67,6,sell
9/15,2026-09-15,0052,台新,0039004200300030,135,13,122,1.14,7,buy
9/15,2026-09-15,0052,新加坡商瑞銀,1650,579,641,-62,0.58,7,sell
9/15,2026-09-15,0052,國泰-敦南,8888,228,132,96,0.9,8,buy
9/15,2026-09-15,0052,永豐金-松山,0039004100390031,2,54,-52,0.49,8,sell
9/15,2026-09-15,0052,中國信託-中壢,0036003100360041,63,0,63,0.59,9,buy
9/15,2026-09-15,0052,群益金鼎-南京,0039003100380045,0,50,-50,0.47,9,sell
9/15,2026-09-15,0052,元大-嘉義,0039003800390067,57,4,53,0.5,10,buy
9/15,2026-09-15,0052,元大-博愛,0039003800320042,8,49,-41,0.38,10,sell
9/15,2026-09-15,0052,永豐金-台中,003900410039004c,55,3,52,0.49,11,buy
9/15,2026-09-15,0052,群益金鼎-天母,0039003100380050,0,40,-40,0.37,11,sell
9/15,2026-09-15,0052,統一-城中,5854,51,0,51,0.48,12,buy
9/15,2026-09-15,0052,第一金-嘉義,003500330038004d,6,44,-38,0.36,12,sell
9/15,2026-09-15,0052,陽信-石牌,8711,51,0,51,0.48,13,buy
9/15,2026-09-15,0052,元大-六合,0039003800320043,1,33,-32,0.3,13,sell
9/15,2026-09-15,0052,凱基-苗栗,9276,41,0,41,0.38,14,buy
9/15,2026-09-15,0052,永豐金-天母,0039004100390047,11,40,-29,0.27,14,sell
9/15,2026-09-15,0052,華南永昌,9300,46,7,39,0.37,15,buy
9/15,2026-09-15,0052,元大-汐止,0039003800390051,6,35,-29,0.27,15,sell
9/15,2026-09-15,0053,元大證券,9800,122,55,67,23.76,1,buy
9/15,2026-09-15,0053,群益金鼎,9100,0,140,-140,49.65,1,sell
9/15,2026-09-15,0053,永豐金證券,0039004100300030,48,0,48,17.02,2,buy
9/15,2026-09-15,0053,凱基,9200,0,64,-64,22.7,2,sell
9/15,2026-09-15,0053,富邦證券,9600,33,1,32,11.35,3,buy
9/15,2026-09-15,0053,凱基-台北,9268,0,4,-4,1.42,3,sell
9/15,2026-09-15,0053,國泰-敦南,8888,7,1,6,2.13,4,buy
9/15,2026-09-15,0053,高橋-龍潭,5321,0,3,-3,1.06,4,sell
9/15,2026-09-15,0053,國泰證券,8880,6,1,5,1.77,5,buy
9/15,2026-09-15,0053,凱基-松山,9217,0,3,-3,1.06,5,sell
9/15,2026-09-15,0053,台新,0039004200300030,5,0,5,1.77,6,buy
9/15,2026-09-15,0053,台灣摩根士丹利,1470,0,2,-2,0.71,6,sell
9/15,2026-09-15,0053,華南永昌,9300,5,0,5,1.77,7,buy
9/15,2026-09-15,0053,新加坡商瑞銀,1650,0,1,-1,0.35,7,sell
9/15,2026-09-15,0053,玉山-嘉義,8848,2,0,2,0.71,8,buy
9/15,2026-09-15,0053,富邦-敦南,9663,0,1,-1,0.35,8,sell
9/15,2026-09-15,0053,彰銀-台中,1233,2,0,2,0.71,9,buy
9/15,2026-09-15,0053,群益金鼎-屏東,0039003100330048,1,1,0,0.0,9,sell
9/15,2026-09-15,0053,元大-信義,003900380039006d,2,0,2,0.71,10,buy
9/15,2026-09-15,0053,華南永昌-高雄,9303,0,0,0,0.0,10,sell
9/15,2026-09-15,0053,口袋證券,6620,1,0,1,0.35,11,buy
9/15,2026-09-15,0053,第一金-大稻埕,0035003300380046,0,0,0,0.0,11,sell
9/15,2026-09-15,0053,中國信託,6160,2,1,1,0.35,12,buy
9/15,2026-09-15,0053,元大-土城,9897,0,0,0,0.0,12,sell
9/15,2026-09-15,0053,元大-屏東,9892,1,0,1,0.35,13,buy
9/15,2026-09-15,0053,元大-竹山,0039003800310052,0,0,0,0.0,13,sell
9/15,2026-09-15,0053,富邦-內湖,9627,1,0,1,0.35,14,buy
9/15,2026-09-15,0053,華南永昌-小港,9323,0,0,0,0.0,14,sell
9/15,2026-09-15,0053,玉山證券,8840,1,0,1,0.35,15,buy
9/15,2026-09-15,0053,群益金鼎-高雄,9183,0,0,0,0.0,15,sell
9/15,2026-09-15,0055,大昌-新店,6464,102,0,102,8.45,1,buy
9/15,2026-09-15,0055,永豐金證券,0039004100300030,5,755,-750,62.14,1,sell
9/15,2026-09-15,0055,富邦-新莊,0039003600320044,71,0,71,5.88,2,buy
9/15,2026-09-15,0055,元大-鳳中,0039003800350043,3,43,-40,3.31,2,sell
9/15,2026-09-15,0055,凱基-台北,9268,105,55,50,4.14,3,buy
9/15,2026-09-15,0055,永豐金-永康,0039004100390063,0,15,-15,1.24,3,sell
