date,trade_date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
9/10,2026-09-10,0050,國泰證券,8880,2568,7,2561,5.6,1,buy
9/10,2026-09-10,0050,元大證券,9800,3263,9748,-6485,14.17,1,sell
9/10,2026-09-10,0050,台灣摩根士丹利,1470,1919,62,1857,4.06,2,buy
9/10,2026-09-10,0050,大和國泰,8890,0,4600,-4600,10.05,2,sell
9/10,2026-09-10,0050,凱基,9200,937,0,937,2.05,3,buy
9/10,2026-09-10,0050,凱基-台北,9268,603,3514,-2911,6.36,3,sell
9/10,2026-09-10,0050,國泰-敦南,8888,1817,1196,621,1.36,4,buy
9/10,2026-09-10,0050,法銀巴黎,8900,0,1468,-1468,3.21,4,sell
9/10,2026-09-10,0050,兆豐-鹿港,0037003000300066,624,8,616,1.35,5,buy
9/10,2026-09-10,0050,永豐金證券,0039004100300030,573,1894,-1321,2.89,5,sell
9/10,2026-09-10,0050,富邦證券,9600,1030,423,607,1.33,6,buy
9/10,2026-09-10,0050,國票證券,7790,29,636,-607,1.33,6,sell
9/10,2026-09-10,0050,新加坡商瑞銀,1650,1273,822,451,0.99,7,buy
9/10,2026-09-10,0050,中國信託,6160,1231,1567,-336,0.73,7,sell
9/10,2026-09-10,0050,台新,0039004200300030,1182,823,359,0.78,8,buy
9/10,2026-09-10,0050,富邦-竹科,0039003600320043,41,219,-178,0.39,8,sell
9/10,2026-09-10,0050,合庫證券,1020,379,30,349,0.76,9,buy
9/10,2026-09-10,0050,大昌,6460,24,156,-132,0.29,9,sell
9/10,2026-09-10,0050,國泰-板橋,003800380038004b,345,157,188,0.41,10,buy
9/10,2026-09-10,0050,康和,8450,149,269,-120,0.26,10,sell
9/10,2026-09-10,0050,永豐金-台南,0039004100390068,231,65,166,0.36,11,buy
9/10,2026-09-10,0050,群益金鼎-嘉義,003900310038004d,33,148,-115,0.25,11,sell
9/10,2026-09-10,0050,永豐金-中和,0039004100390042,200,53,147,0.32,12,buy
9/10,2026-09-10,0050,元大-館前,003900380034004b,41,155,-114,0.25,12,sell
9/10,2026-09-10,0050,台新-板橋,0039004200320062,152,10,142,0.31,13,buy
9/10,2026-09-10,0050,兆豐-民生,0037003000300063,16,111,-95,0.21,13,sell
9/10,2026-09-10,0050,玉山-數位,003800380034004d,265,133,132,0.29,14,buy
9/10,2026-09-10,0050,玉山-信義,0038003800340043,52,126,-74,0.16,14,sell
9/10,2026-09-10,0050,玉山證券,8840,302,177,125,0.27,15,buy
9/10,2026-09-10,0050,永豐金-市政,0039004100390057,94,166,-72,0.16,15,sell
9/10,2026-09-10,0051,國泰證券,8880,2,0,2,7.69,1,buy
9/10,2026-09-10,0051,元大證券,9800,1,5,-4,15.38,1,sell
9/10,2026-09-10,0051,凱基-信義,9216,2,0,2,7.69,2,buy
9/10,2026-09-10,0051,華南永昌-頭份,9343,0,3,-3,11.54,2,sell
9/10,2026-09-10,0051,富邦-陽明,9604,1,0,1,3.85,3,buy
9/10,2026-09-10,0051,中國信託,6160,1,3,-2,7.69,3,sell
9/10,2026-09-10,0051,台新,0039004200300030,1,0,1,3.85,4,buy
9/10,2026-09-10,0051,國泰-敦南,8888,0,1,-1,3.85,4,sell
9/10,2026-09-10,0051,永豐金證券,0039004100300030,1,0,1,3.85,5,buy
9/10,2026-09-10,0051,新光-高雄,8562,0,1,-1,3.85,5,sell
9/10,2026-09-10,0051,新光,8560,1,0,1,3.85,6,buy
9/10,2026-09-10,0051,國泰-台中,8882,5,6,-1,3.85,6,sell
9/10,2026-09-10,0051,華南永昌-彰化,9363,2,1,1,3.85,7,buy
9/10,2026-09-10,0051,凱基-苗栗,9276,0,1,-1,3.85,7,sell
9/10,2026-09-10,0051,凱基,9200,1,0,1,3.85,8,buy
9/10,2026-09-10,0051,國泰-館前,0038003800380041,0,1,-1,3.85,8,sell
9/10,2026-09-10,0051,元大-天母,0039003800310049,0,0,0,0.0,9,buy
9/10,2026-09-10,0051,富邦-仁愛,9676,0,0,0,0.0,9,sell
9/10,2026-09-10,0051,台新-松江,0039004200310035,0,0,0,0.0,10,buy
9/10,2026-09-10,0051,永豐金-敦北,0039004100380039,0,0,0,0.0,10,sell
9/10,2026-09-10,0051,元大-南屯,9853,0,0,0,0.0,11,buy
9/10,2026-09-10,0051,玉山-左營,0038003800340044,0,0,0,0.0,11,sell
9/10,2026-09-10,0051,玉山-數位,003800380034004d,0,0,0,0.0,12,buy
9/10,2026-09-10,0051,元大-中山北路,0039003800300061,0,0,0,0.0,12,sell
9/10,2026-09-10,0051,臺銀,1040,0,0,0,0.0,13,buy
9/10,2026-09-10,0051,凱基-台中,9204,0,0,0,0.0,13,sell
9/10,2026-09-10,0051,華南永昌,9300,0,0,0,0.0,14,buy
9/10,2026-09-10,0051,元大-館前,003900380034004b,0,0,0,0.0,14,sell
9/10,2026-09-10,0051,台新-潮州,0039004200320043,0,0,0,0.0,15,buy
9/10,2026-09-10,0051,永豐金-高雄,0039004100390065,0,0,0,0.0,15,sell
9/10,2026-09-10,0052,元大證券,9800,1140,255,885,10.93,1,buy
9/10,2026-09-10,0052,永豐金證券,0039004100300030,151,1227,-1076,13.29,1,sell
9/10,2026-09-10,0052,富邦證券,9600,832,2,830,10.25,2,buy
9/10,2026-09-10,0052,新加坡商瑞銀,1650,236,929,-693,8.56,2,sell
9/10,2026-09-10,0052,台新,0039004200300030,672,172,500,6.17,3,buy
9/10,2026-09-10,0052,康和,8450,0,328,-328,4.05,3,sell
9/10,2026-09-10,0052,凱基-台北,9268,537,120,417,5.15,4,buy
9/10,2026-09-10,0052,元大-善化,0039003800310079,2,147,-145,1.79,4,sell
9/10,2026-09-10,0052,中國信託,6160,266,32,234,2.89,5,buy
9/10,2026-09-10,0052,元大-四維,9831,0,138,-138,1.7,5,sell
9/10,2026-09-10,0052,國泰-館前,0038003800380041,225,15,210,2.59,6,buy
9/10,2026-09-10,0052,富邦-陽明,9604,17,121,-104,1.28,6,sell
9/10,2026-09-10,0052,國泰證券,8880,191,0,191,2.36,7,buy
9/10,2026-09-10,0052,群益金鼎,9100,315,394,-79,0.98,7,sell
9/10,2026-09-10,0052,群益金鼎-敦南,9101,104,24,80,0.99,8,buy
