date,trade_date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
9/02,2026-09-02,0050,富邦證券,9600,2415,15,2400,3.55,1,buy
9/02,2026-09-02,0050,元大證券,9800,2114,14884,-12770,18.87,1,sell
9/02,2026-09-02,0050,國泰-敦南,8888,3150,1188,1962,2.9,2,buy
9/02,2026-09-02,0050,凱基-台北,9268,2775,15159,-12384,18.3,2,sell
9/02,2026-09-02,0050,凱基,9200,3360,2105,1255,1.85,3,buy
9/02,2026-09-02,0050,台灣摩根士丹利,1470,55,4960,-4905,7.25,3,sell
9/02,2026-09-02,0050,國泰證券,8880,916,4,912,1.35,4,buy
9/02,2026-09-02,0050,法銀巴黎,8900,0,4859,-4859,7.18,4,sell
9/02,2026-09-02,0050,新光,8560,740,166,574,0.85,5,buy
9/02,2026-09-02,0050,永豐金證券,0039004100300030,1221,2095,-874,1.29,5,sell
9/02,2026-09-02,0050,群益金鼎,9100,490,76,414,0.61,6,buy
9/02,2026-09-02,0050,新加坡商瑞銀,1650,1172,2019,-847,1.25,6,sell
9/02,2026-09-02,0050,國泰-高雄,8881,423,68,355,0.52,7,buy
9/02,2026-09-02,0050,統一,5850,82,926,-844,1.25,7,sell
9/02,2026-09-02,0050,國泰-板橋,003800380038004b,444,115,329,0.49,8,buy
9/02,2026-09-02,0050,中國信託,6160,1660,2494,-834,1.23,8,sell
9/02,2026-09-02,0050,國泰-館前,0038003800380041,452,124,328,0.48,9,buy
9/02,2026-09-02,0050,國票-安和,003700370039005a,18,303,-285,0.42,9,sell
9/02,2026-09-02,0050,國泰-台中,8882,545,220,325,0.48,10,buy
9/02,2026-09-02,0050,兆豐-民生,0037003000300063,34,297,-263,0.39,10,sell
9/02,2026-09-02,0050,永豐金-桃園,0039004100390078,332,33,299,0.44,11,buy
9/02,2026-09-02,0050,第一金-中山,5389,29,261,-232,0.34,11,sell
9/02,2026-09-02,0050,永豐金-竹科,0039004100390058,358,75,283,0.42,12,buy
9/02,2026-09-02,0050,康和,8450,126,308,-182,0.27,12,sell
9/02,2026-09-02,0050,凱基-大直,9218,279,7,272,0.4,13,buy
9/02,2026-09-02,0050,凱基-永華,9235,20,158,-138,0.2,13,sell
9/02,2026-09-02,0050,國泰-松江,8883,329,59,270,0.4,14,buy
9/02,2026-09-02,0050,永豐金-天母,0039004100390047,41,151,-110,0.16,14,sell
9/02,2026-09-02,0050,國票證券,7790,258,0,258,0.38,15,buy
9/02,2026-09-02,0050,合庫證券,1020,45,144,-99,0.15,15,sell
9/02,2026-09-02,0051,大昌-新店,6464,3,0,3,12.5,1,buy
9/02,2026-09-02,0051,凱基-站前,0039003200300046,0,4,-4,16.67,1,sell
9/02,2026-09-02,0051,國泰-敦南,8888,2,0,2,8.33,2,buy
9/02,2026-09-02,0051,元大證券,9800,0,3,-3,12.5,2,sell
9/02,2026-09-02,0051,國泰證券,8880,1,0,1,4.17,3,buy
9/02,2026-09-02,0051,華南永昌-彰化,9363,0,2,-2,8.33,3,sell
9/02,2026-09-02,0051,凱基,9200,1,0,1,4.17,4,buy
9/02,2026-09-02,0051,德信,6910,0,2,-2,8.33,4,sell
9/02,2026-09-02,0051,新光,8560,1,0,1,4.17,5,buy
9/02,2026-09-02,0051,國泰-台中,8882,5,6,-1,4.17,5,sell
9/02,2026-09-02,0051,玉山-景美,8849,1,0,1,4.17,6,buy
9/02,2026-09-02,0051,富邦-仁愛,9676,0,1,-1,4.17,6,sell
9/02,2026-09-02,0051,富邦-高雄,9659,1,0,1,4.17,7,buy
9/02,2026-09-02,0051,永豐金-高雄,0039004100390065,0,1,-1,4.17,7,sell
9/02,2026-09-02,0051,合庫-台南,1022,1,0,1,4.17,8,buy
9/02,2026-09-02,0051,凱基-東港,9212,0,1,-1,4.17,8,sell
9/02,2026-09-02,0051,中國信託-中壢,0036003100360041,1,0,1,4.17,9,buy
9/02,2026-09-02,0051,富邦證券,9600,1,1,0,0.0,9,sell
9/02,2026-09-02,0051,中國信託,6160,1,1,0,0.0,10,buy
9/02,2026-09-02,0051,口袋證券,6620,0,0,0,0.0,10,sell
9/02,2026-09-02,0051,元大-古亭,003900380039006b,0,0,0,0.0,11,buy
9/02,2026-09-02,0051,永豐金-鳳山,0039004100360031,0,0,0,0.0,11,sell
9/02,2026-09-02,0051,玉山-數位,003800380034004d,0,0,0,0.0,12,buy
9/02,2026-09-02,0051,永豐金-台中,003900410039004c,0,0,0,0.0,12,sell
9/02,2026-09-02,0051,臺銀,1040,0,0,0,0.0,13,buy
9/02,2026-09-02,0051,富邦-敦南,9663,0,0,0,0.0,13,sell
9/02,2026-09-02,0051,元大-忠孝,9871,0,0,0,0.0,14,buy
9/02,2026-09-02,0051,台灣企銀-岡山,1119,0,0,0,0.0,14,sell
9/02,2026-09-02,0051,永豐金證券,0039004100300030,0,0,0,0.0,15,buy
9/02,2026-09-02,0051,元大-府城,0039003800300075,0,0,0,0.0,15,sell
9/02,2026-09-02,0052,凱基-台北,9268,2608,596,2012,17.63,1,buy
9/02,2026-09-02,0052,新加坡商瑞銀,1650,419,2334,-1915,16.78,1,sell
9/02,2026-09-02,0052,富邦-三峽,003900360032004a,261,24,237,2.08,2,buy
9/02,2026-09-02,0052,元大證券,9800,334,1907,-1573,13.78,2,sell
9/02,2026-09-02,0052,富邦證券,9600,229,5,224,1.96,3,buy
9/02,2026-09-02,0052,康和,8450,0,601,-601,5.27,3,sell
9/02,2026-09-02,0052,臺銀,1040,171,5,166,1.45,4,buy
9/02,2026-09-02,0052,統一,5850,32,525,-493,4.32,4,sell
9/02,2026-09-02,0052,統一-宜蘭,0035003800350053,150,0,150,1.31,5,buy
9/02,2026-09-02,0052,永豐金證券,0039004100300030,347,609,-262,2.3,5,sell
9/02,2026-09-02,0052,富邦-竹北,9624,108,2,106,0.93,6,buy
9/02,2026-09-02,0052,國泰-板橋,003800380038004b,44,295,-251,2.2,6,sell
9/02,2026-09-02,0052,國泰證券,8880,68,8,60,0.53,7,buy
9/02,2026-09-02,0052,台新,0039004200300030,79,307,-228,2.0,7,sell
