date,trade_date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
9/01,2026-09-01,0050,凱基-台北,9268,42275,732,41543,37.4,1,buy
9/01,2026-09-01,0050,國泰-敦南,8888,984,7155,-6171,5.56,1,sell
9/01,2026-09-01,0050,元大證券,9800,14178,2337,11841,10.66,2,buy
9/01,2026-09-01,0050,法銀巴黎,8900,0,2270,-2270,2.04,2,sell
9/01,2026-09-01,0050,凱基,9200,12149,822,11327,10.2,3,buy
9/01,2026-09-01,0050,富邦證券,9600,1024,2104,-1080,0.97,3,sell
9/01,2026-09-01,0050,永豐金證券,0039004100300030,10771,2180,8591,7.73,4,buy
9/01,2026-09-01,0050,新光,8560,165,1158,-993,0.89,4,sell
9/01,2026-09-01,0050,統一,5850,2312,443,1869,1.68,5,buy
9/01,2026-09-01,0050,國泰-板橋,003800380038004b,149,932,-783,0.7,5,sell
9/01,2026-09-01,0050,群益金鼎,9100,1788,234,1554,1.4,6,buy
9/01,2026-09-01,0050,台新,0039004200300030,1089,1842,-753,0.68,6,sell
9/01,2026-09-01,0050,國泰證券,8880,1692,174,1518,1.37,7,buy
9/01,2026-09-01,0050,國泰-台中,8882,406,1110,-704,0.63,7,sell
9/01,2026-09-01,0050,新加坡商瑞銀,1650,2854,1728,1126,1.01,8,buy
9/01,2026-09-01,0050,國泰-桃園,8885,90,794,-704,0.63,8,sell
9/01,2026-09-01,0050,國票證券,7790,893,34,859,0.77,9,buy
9/01,2026-09-01,0050,元大-中壢,9834,78,659,-581,0.52,9,sell
9/01,2026-09-01,0050,中國信託,6160,1629,962,667,0.6,10,buy
9/01,2026-09-01,0050,國泰-館前,0038003800380041,96,656,-560,0.5,10,sell
9/01,2026-09-01,0050,康和,8450,362,24,338,0.3,11,buy
9/01,2026-09-01,0050,富邦-板橋,9655,76,594,-518,0.47,11,sell
9/01,2026-09-01,0050,台灣摩根士丹利,1470,322,4,318,0.29,12,buy
9/01,2026-09-01,0050,新光-台中,8561,56,565,-509,0.46,12,sell
9/01,2026-09-01,0050,兆豐-民生,0037003000300063,293,45,248,0.22,13,buy
9/01,2026-09-01,0050,元大-新竹經國,9859,5,461,-456,0.41,13,sell
9/01,2026-09-01,0050,元大-台南,9896,294,89,205,0.18,14,buy
9/01,2026-09-01,0050,元大-新竹,9816,26,482,-456,0.41,14,sell
9/01,2026-09-01,0050,第一金-中山,5389,256,70,186,0.17,15,buy
9/01,2026-09-01,0050,凱基-城中,9227,19,471,-452,0.41,15,sell
9/01,2026-09-01,0051,元大證券,9800,37,0,37,51.39,1,buy
9/01,2026-09-01,0051,華南永昌-中正,9359,0,8,-8,11.11,1,sell
9/01,2026-09-01,0051,國泰證券,8880,3,0,3,4.17,2,buy
9/01,2026-09-01,0051,群益金鼎-台中,9184,0,6,-6,8.33,2,sell
9/01,2026-09-01,0051,第一金-新興,0035003300380041,2,0,2,2.78,3,buy
9/01,2026-09-01,0051,永豐金-鳳山,0039004100360031,0,5,-5,6.94,3,sell
9/01,2026-09-01,0051,宏遠-館前,0031003200360055,2,0,2,2.78,4,buy
9/01,2026-09-01,0051,元大-南屯,9853,0,4,-4,5.56,4,sell
9/01,2026-09-01,0051,凱基-竹科,9272,2,0,2,2.78,5,buy
9/01,2026-09-01,0051,台新-台中,0039004200310068,0,3,-3,4.17,5,sell
9/01,2026-09-01,0051,元大-忠孝,9871,2,0,2,2.78,6,buy
9/01,2026-09-01,0051,台新,0039004200300030,0,3,-3,4.17,6,sell
9/01,2026-09-01,0051,富邦證券,9600,1,0,1,1.39,7,buy
9/01,2026-09-01,0051,凱基-站前,0039003200300046,0,3,-3,4.17,7,sell
9/01,2026-09-01,0051,華南永昌-彰化,9363,1,0,1,1.39,8,buy
