date,trade_date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
8/31,2026-08-31,0050,國泰證券,8880,2981,8,2973,4.3,1,buy
8/31,2026-08-31,0050,法銀巴黎,8900,3,9742,-9739,14.09,1,sell
8/31,2026-08-31,0050,富邦證券,9600,1057,240,817,1.18,2,buy
8/31,2026-08-31,0050,凱基-台北,9268,8150,12237,-4087,5.91,2,sell
8/31,2026-08-31,0050,國泰-敦南,8888,2512,1780,732,1.06,3,buy
8/31,2026-08-31,0050,台灣摩根士丹利,1470,211,1771,-1560,2.26,3,sell
8/31,2026-08-31,0050,凱基,9200,570,5,565,0.82,4,buy
8/31,2026-08-31,0050,元大證券,9800,5207,6692,-1485,2.15,4,sell
8/31,2026-08-31,0050,統一,5850,503,95,408,0.59,5,buy
8/31,2026-08-31,0050,中國信託,6160,1802,3114,-1312,1.9,5,sell
8/31,2026-08-31,0050,群益金鼎,9100,455,47,408,0.59,6,buy
8/31,2026-08-31,0050,國票證券,7790,20,1060,-1040,1.5,6,sell
8/31,2026-08-31,0050,中國信託-高雄,003600310036004b,2024,1663,361,0.52,7,buy
8/31,2026-08-31,0050,第一金-豐原,003500330038004e,17,543,-526,0.76,7,sell
8/31,2026-08-31,0050,美好,5260,337,0,337,0.49,8,buy
8/31,2026-08-31,0050,元大-內湖,003900380039004e,107,530,-423,0.61,8,sell
8/31,2026-08-31,0050,兆豐證券,7000,322,33,289,0.42,9,buy
8/31,2026-08-31,0050,元大-大天母,9893,49,427,-378,0.55,9,sell
8/31,2026-08-31,0050,永豐金-忠孝,0039004100390044,250,35,215,0.31,10,buy
8/31,2026-08-31,0050,永豐金-台南,0039004100390068,123,377,-254,0.37,10,sell
8/31,2026-08-31,0050,國泰-台中,8882,506,300,206,0.3,11,buy
8/31,2026-08-31,0050,新加坡商瑞銀,1650,1106,1333,-227,0.33,11,sell
8/31,2026-08-31,0050,摩根大通,8440,205,0,205,0.3,12,buy
8/31,2026-08-31,0050,元大-三民,0039003800390046,93,286,-193,0.28,12,sell
8/31,2026-08-31,0050,新光,8560,667,475,192,0.28,13,buy
8/31,2026-08-31,0050,元大-桃興,9894,42,215,-173,0.25,13,sell
8/31,2026-08-31,0050,玉山證券,8840,272,84,188,0.27,14,buy
8/31,2026-08-31,0050,(牛牛牛)亞-鑫豐,0036003000310064,149,276,-127,0.18,14,sell
8/31,2026-08-31,0050,元大-雙和,9874,199,18,181,0.26,15,buy
8/31,2026-08-31,0050,永豐金證券,0039004100300030,1797,1900,-103,0.15,15,sell
8/31,2026-08-31,0051,國泰證券,8880,3,0,3,7.89,1,buy
8/31,2026-08-31,0051,群益金鼎-天母,0039003100380050,1,5,-4,10.53,1,sell
8/31,2026-08-31,0051,台新,0039004200300030,2,0,2,5.26,2,buy
8/31,2026-08-31,0051,元大證券,9800,5,8,-3,7.89,2,sell
8/31,2026-08-31,0051,永豐金證券,0039004100300030,2,0,2,5.26,3,buy
8/31,2026-08-31,0051,國泰-台中,8882,6,9,-3,7.89,3,sell
8/31,2026-08-31,0051,玉山-高雄,8843,1,0,1,2.63,4,buy
8/31,2026-08-31,0051,新光-台南,8564,0,2,-2,5.26,4,sell
8/31,2026-08-31,0051,大昌-安康,6462,1,0,1,2.63,5,buy
8/31,2026-08-31,0051,國泰-桃園,8885,0,1,-1,2.63,5,sell
8/31,2026-08-31,0051,中國信託-高雄,003600310036004b,1,0,1,2.63,6,buy
8/31,2026-08-31,0051,國泰-松江,8883,0,1,-1,2.63,6,sell
8/31,2026-08-31,0051,富邦-內湖,9627,1,0,1,2.63,7,buy
8/31,2026-08-31,0051,元大-旗山,003900380031006e,0,1,-1,2.63,7,sell
8/31,2026-08-31,0051,元大-南屯,9853,1,0,1,2.63,8,buy
8/31,2026-08-31,0051,元大-忠孝,9871,0,1,-1,2.63,8,sell
8/31,2026-08-31,0051,永豐金-萬盛,0039004100390032,1,0,1,2.63,9,buy
8/31,2026-08-31,0051,永豐金-竹北,0039004100390050,0,1,-1,2.63,9,sell
8/31,2026-08-31,0051,國泰-敦南,8888,1,0,1,2.63,10,buy
8/31,2026-08-31,0051,中國信託,6160,1,2,-1,2.63,10,sell
