date,trade_date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
8/28,2026-08-28,0050,凱基-台北,9268,11747,5002,6745,9.93,1,buy
8/28,2026-08-28,0050,國泰-敦南,8888,1293,3378,-2085,3.07,1,sell
8/28,2026-08-28,0050,凱基,9200,2711,41,2670,3.93,2,buy
8/28,2026-08-28,0050,兆豐-大同,0037003000300053,8,605,-597,0.88,2,sell
8/28,2026-08-28,0050,元大證券,9800,4285,1684,2601,3.83,3,buy
8/28,2026-08-28,0050,國票-敦北法人,0037003700390063,5,504,-499,0.73,3,sell
8/28,2026-08-28,0050,台灣摩根士丹利,1470,2491,72,2419,3.56,4,buy
8/28,2026-08-28,0050,臺銀-臺中,0031003000340041,35,402,-367,0.54,4,sell
8/28,2026-08-28,0050,美商高盛,1480,1912,105,1807,2.66,5,buy
8/28,2026-08-28,0050,玉山-台中,0038003800340042,54,344,-290,0.43,5,sell
8/28,2026-08-28,0050,台新,0039004200300030,2318,856,1462,2.15,6,buy
8/28,2026-08-28,0050,元大-大里,0039003800310067,23,290,-267,0.39,6,sell
8/28,2026-08-28,0050,中國信託,6160,1938,521,1417,2.09,7,buy
8/28,2026-08-28,0050,台新-成功,003900420032006d,30,280,-250,0.37,7,sell
8/28,2026-08-28,0050,富邦證券,9600,1965,930,1035,1.52,8,buy
8/28,2026-08-28,0050,元大-松山,0039003800310070,13,258,-245,0.36,8,sell
8/28,2026-08-28,0050,群益金鼎,9100,925,41,884,1.3,9,buy
8/28,2026-08-28,0050,國泰-台中,8882,208,449,-241,0.35,9,sell
8/28,2026-08-28,0050,玉山證券,8840,1016,200,816,1.2,10,buy
8/28,2026-08-28,0050,新光,8560,207,441,-234,0.34,10,sell
8/28,2026-08-28,0050,國泰證券,8880,851,51,800,1.18,11,buy
8/28,2026-08-28,0050,國泰-高雄,8881,87,305,-218,0.32,11,sell
8/28,2026-08-28,0050,康和,8450,628,7,621,0.91,12,buy
8/28,2026-08-28,0050,台新-台中,0039004200310068,75,270,-195,0.29,12,sell
8/28,2026-08-28,0050,元大-館前,003900380034004b,425,31,394,0.58,13,buy
8/28,2026-08-28,0050,元大-竹科,003900380030004b,46,220,-174,0.26,13,sell
8/28,2026-08-28,0050,兆豐證券,7000,321,36,285,0.42,14,buy
8/28,2026-08-28,0050,永豐金證券,0039004100300030,15244,15416,-172,0.25,14,sell
8/28,2026-08-28,0050,元大-新竹,9816,295,40,255,0.38,15,buy
8/28,2026-08-28,0050,富邦-建國,9658,85,252,-167,0.25,15,sell
8/28,2026-08-28,0051,元大證券,9800,22,1,21,60.0,1,buy
8/28,2026-08-28,0051,台新-虎尾,003900420032004e,0,3,-3,8.57,1,sell
8/28,2026-08-28,0051,國泰-台中,8882,3,1,2,5.71,2,buy
8/28,2026-08-28,0051,兆豐-來福,0037003000300043,0,2,-2,5.71,2,sell
8/28,2026-08-28,0051,中國信託,6160,1,0,1,2.86,3,buy
8/28,2026-08-28,0051,玉山-城中,0038003800340045,0,2,-2,5.71,3,sell
8/28,2026-08-28,0051,永興-水湳,5602,1,0,1,2.86,4,buy
8/28,2026-08-28,0051,中國信託-中壢,0036003100360041,0,2,-2,5.71,4,sell
8/28,2026-08-28,0051,群益金鼎-天母,0039003100380050,1,0,1,2.86,5,buy
8/28,2026-08-28,0051,台新,0039004200300030,0,1,-1,2.86,5,sell
8/28,2026-08-28,0051,元大-彰化民生,003900380039004a,1,0,1,2.86,6,buy
8/28,2026-08-28,0051,華南永昌-彰化,9363,0,1,-1,2.86,6,sell
8/28,2026-08-28,0051,富邦-新店,9661,1,0,1,2.86,7,buy
8/28,2026-08-28,0051,永豐金-北高雄,0039004100390072,0,1,-1,2.86,7,sell
8/28,2026-08-28,0051,國泰證券,8880,1,0,1,2.86,8,buy
8/28,2026-08-28,0051,統一-新竹,5857,0,1,-1,2.86,8,sell
8/28,2026-08-28,0051,群益金鼎-東湖,003900310038004b,0,0,0,0.0,9,buy
8/28,2026-08-28,0051,美好-泰山,5263,0,1,-1,2.86,9,sell
8/28,2026-08-28,0051,新光-高雄,8562,0,0,0,0.0,10,buy
8/28,2026-08-28,0051,合庫證券,1020,0,1,-1,2.86,10,sell
8/28,2026-08-28,0051,新光-台中,8561,1,1,0,0.0,11,buy
8/28,2026-08-28,0051,新光-桃園,8565,0,1,-1,2.86,11,sell
8/28,2026-08-28,0051,凱基,9200,0,0,0,0.0,12,buy
8/28,2026-08-28,0051,玉山-桃園,0038003800340046,0,1,-1,2.86,12,sell
8/28,2026-08-28,0051,台新-北新莊,0039004200320038,0,0,0,0.0,13,buy
8/28,2026-08-28,0051,群益金鼎-新莊,0039003100380047,0,1,-1,2.86,13,sell
8/28,2026-08-28,0051,凱基-汐止,9226,0,0,0,0.0,14,buy
8/28,2026-08-28,0051,凱基-台北,9268,0,1,-1,2.86,14,sell
8/28,2026-08-28,0051,第一金-桃園,5385,0,0,0,0.0,15,buy
8/28,2026-08-28,0051,富邦-中壢,9636,0,1,-1,2.86,15,sell
8/28,2026-08-28,0052,凱基-台北,9268,3777,507,3270,24.03,1,buy
8/28,2026-08-28,0052,永豐金證券,0039004100300030,299,721,-422,3.1,1,sell
8/28,2026-08-28,0052,富邦證券,9600,1407,67,1340,9.85,2,buy
8/28,2026-08-28,0052,國泰-敦南,8888,179,539,-360,2.65,2,sell
8/28,2026-08-28,0052,凱基,9200,1095,40,1055,7.75,3,buy
8/28,2026-08-28,0052,元大證券,9800,755,1065,-310,2.28,3,sell
8/28,2026-08-28,0052,宏遠證券,1260,700,1,699,5.14,4,buy
8/28,2026-08-28,0052,台新,0039004200300030,108,339,-231,1.7,4,sell
8/28,2026-08-28,0052,康和,8450,596,5,591,4.34,5,buy
8/28,2026-08-28,0052,國泰-板橋,003800380038004b,18,167,-149,1.1,5,sell
