date,trade_date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side,full_date
8/25,2026-08-25,0051,凱基,9200,1,1,0,0.0,14,buy,2026-08-25
8/25,2026-08-25,0051,臺銀,1040,0,0,0,0.0,14,sell,2026-08-25
8/25,2026-08-25,0051,玉山證券,8840,0,0,0,0.0,15,buy,2026-08-25
8/25,2026-08-25,0051,兆豐-高雄,003700300030005a,0,0,0,0.0,15,sell,2026-08-25
8/25,2026-08-25,0052,兆豐證券,7000,651,0,651,5.89,1,buy,2026-08-25
8/25,2026-08-25,0052,中國信託,6160,553,1746,-1193,10.79,1,sell,2026-08-25
8/25,2026-08-25,0052,康和,8450,473,0,473,4.28,2,buy,2026-08-25
8/25,2026-08-25,0052,凱基-台北,9268,67,777,-710,6.42,2,sell,2026-08-25
8/25,2026-08-25,0052,凱基,9200,455,9,446,4.03,3,buy,2026-08-25
8/25,2026-08-25,0052,富邦證券,9600,190,757,-567,5.13,3,sell,2026-08-25
8/25,2026-08-25,0052,新加坡商瑞銀,1650,1061,659,402,3.64,4,buy,2026-08-25
8/25,2026-08-25,0052,統一,5850,6,504,-498,4.5,4,sell,2026-08-25
8/25,2026-08-25,0052,永豐金證券,0039004100300030,732,422,310,2.8,5,buy,2026-08-25
8/25,2026-08-25,0052,國泰證券,8880,120,515,-395,3.57,5,sell,2026-08-25
8/25,2026-08-25,0052,玉山證券,8840,138,1,137,1.24,6,buy,2026-08-25
8/25,2026-08-25,0052,元大證券,9800,1329,1530,-201,1.82,6,sell,2026-08-25
8/25,2026-08-25,0052,國泰-敦南,8888,291,168,123,1.11,7,buy,2026-08-25
8/25,2026-08-25,0052,兆豐-民生,0037003000300063,1,159,-158,1.43,7,sell,2026-08-25
8/25,2026-08-25,0052,第一金-高雄,5383,101,0,101,0.91,8,buy,2026-08-25
8/25,2026-08-25,0052,群益金鼎-海山,9108,5,103,-98,0.89,8,sell,2026-08-25
8/25,2026-08-25,0052,元大-竹東,0039003800330066,102,2,100,0.9,9,buy,2026-08-25
8/25,2026-08-25,0052,玉山-信義,0038003800340043,2,72,-70,0.63,9,sell,2026-08-25
8/25,2026-08-25,0052,高橋-龍潭,5321,63,0,63,0.57,10,buy,2026-08-25
8/25,2026-08-25,0052,群益金鼎,9100,40,109,-69,0.62,10,sell,2026-08-25
8/25,2026-08-25,0052,富邦-陽明,9604,64,2,62,0.56,11,buy,2026-08-25
8/25,2026-08-25,0052,玉山-台中,0038003800340042,6,71,-65,0.59,11,sell,2026-08-25
8/25,2026-08-25,0052,國泰-館前,0038003800380041,61,13,48,0.43,12,buy,2026-08-25
8/25,2026-08-25,0052,台新-高雄,0039004200310067,27,78,-51,0.46,12,sell,2026-08-25
8/25,2026-08-25,0052,元大-豐原站前,0039003800390057,49,2,47,0.43,13,buy,2026-08-25
8/25,2026-08-25,0052,永豐金-桃園,0039004100390078,8,59,-51,0.46,13,sell,2026-08-25
8/25,2026-08-25,0052,富邦-七賢,003900360031004b,43,2,41,0.37,14,buy,2026-08-25
8/25,2026-08-25,0052,元大-虎尾,003900380030006c,14,61,-47,0.43,14,sell,2026-08-25
8/25,2026-08-25,0052,元大-上新莊,0039003800330047,40,0,40,0.36,15,buy,2026-08-25
8/25,2026-08-25,0052,富邦-仁愛,9676,12,57,-45,0.41,15,sell,2026-08-25
8/25,2026-08-25,0053,國泰-敦南,8888,5,0,5,5.1,1,buy,2026-08-25
8/25,2026-08-25,0053,元大證券,9800,12,35,-23,23.47,1,sell,2026-08-25
8/25,2026-08-25,0053,台新,0039004200300030,5,0,5,5.1,2,buy,2026-08-25
8/25,2026-08-25,0053,凱基,9200,10,28,-18,18.37,2,sell,2026-08-25
8/25,2026-08-25,0053,群益金鼎-民權,9131,12,8,4,4.08,3,buy,2026-08-25
8/25,2026-08-25,0053,群益金鼎,9100,0,8,-8,8.16,3,sell,2026-08-25
8/25,2026-08-25,0053,元大-豐原,9838,4,0,4,4.08,4,buy,2026-08-25
8/25,2026-08-25,0053,兆豐-鹿港,0037003000300066,0,3,-3,3.06,4,sell,2026-08-25
8/25,2026-08-25,0053,群益金鼎-台中,9184,2,0,2,2.04,5,buy,2026-08-25
8/25,2026-08-25,0053,凱基-台北,9268,0,3,-3,3.06,5,sell,2026-08-25
8/25,2026-08-25,0053,聯邦-大業,8586,2,0,2,2.04,6,buy,2026-08-25
8/25,2026-08-25,0053,玉山-台中,0038003800340042,0,2,-2,2.04,6,sell,2026-08-25
8/25,2026-08-25,0053,兆豐-台中,7003,2,0,2,2.04,7,buy,2026-08-25
8/25,2026-08-25,0053,新加坡商瑞銀,1650,0,1,-1,1.02,7,sell,2026-08-25
8/25,2026-08-25,0053,凱基-城中,9227,1,0,1,1.02,8,buy,2026-08-25
