date,trade_date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
9/17,2026-09-17,0050,元大證券,9800,9849,2953,6896,13.81,1,buy
9/17,2026-09-17,0050,國泰-敦南,8888,1365,2806,-1441,2.89,1,sell
9/17,2026-09-17,0050,凱基-台北,9268,7333,4691,2642,5.29,2,buy
9/17,2026-09-17,0050,台新,0039004200300030,735,1162,-427,0.86,2,sell
9/17,2026-09-17,0050,凱基,9200,1973,7,1966,3.94,3,buy
9/17,2026-09-17,0050,台新-西松,003900420032006e,9,372,-363,0.73,3,sell
9/17,2026-09-17,0050,中國信託,6160,2098,418,1680,3.36,4,buy
9/17,2026-09-17,0050,國泰-板橋,003800380038004b,151,453,-302,0.6,4,sell
9/17,2026-09-17,0050,永豐金證券,0039004100300030,3027,1658,1369,2.74,5,buy
9/17,2026-09-17,0050,亞東,2180,3,285,-282,0.56,5,sell
9/17,2026-09-17,0050,富邦證券,9600,755,56,699,1.4,6,buy
9/17,2026-09-17,0050,元大-中山北路,0039003800300061,4,278,-274,0.55,6,sell
9/17,2026-09-17,0050,統一,5850,802,134,668,1.34,7,buy
9/17,2026-09-17,0050,中國信託-忠孝,6162,62,307,-245,0.49,7,sell
9/17,2026-09-17,0050,新加坡商瑞銀,1650,1362,782,580,1.16,8,buy
9/17,2026-09-17,0050,中國信託-文心,6164,81,298,-217,0.43,8,sell
9/17,2026-09-17,0050,國泰證券,8880,622,44,578,1.16,9,buy
9/17,2026-09-17,0050,合庫-台中,1021,40,255,-215,0.43,9,sell
9/17,2026-09-17,0050,康和,8450,461,22,439,0.88,10,buy
9/17,2026-09-17,0050,國泰-台中,8882,213,425,-212,0.42,10,sell
9/17,2026-09-17,0050,永豐金-敦北,0039004100380039,510,210,300,0.6,11,buy
9/17,2026-09-17,0050,富邦-三峽,003900360032004a,7,213,-206,0.41,11,sell
9/17,2026-09-17,0050,兆豐-民生,0037003000300063,202,22,180,0.36,12,buy
9/17,2026-09-17,0050,美商高盛,1480,1,179,-178,0.36,12,sell
9/17,2026-09-17,0050,元大-彰化民生,003900380039004a,278,101,177,0.35,13,buy
9/17,2026-09-17,0050,台新-中壢,0039004200310079,18,171,-153,0.31,13,sell
9/17,2026-09-17,0050,富邦-台南,9667,246,87,159,0.32,14,buy
9/17,2026-09-17,0050,新光,8560,439,593,-154,0.31,14,sell
9/17,2026-09-17,0050,國票-嘉義,0037003700390048,147,8,139,0.28,15,buy
9/17,2026-09-17,0050,台新-高雄,0039004200310067,61,210,-149,0.3,15,sell
9/17,2026-09-17,0051,富邦-竹北,9624,3,0,3,11.11,1,buy
9/17,2026-09-17,0051,元大證券,9800,0,8,-8,29.63,1,sell
9/17,2026-09-17,0051,國泰-板橋,003800380038004b,2,0,2,7.41,2,buy
9/17,2026-09-17,0051,凱基-市政,9239,0,3,-3,11.11,2,sell
9/17,2026-09-17,0051,國泰-高雄,8881,2,0,2,7.41,3,buy
9/17,2026-09-17,0051,富邦-苗栗,9657,0,2,-2,7.41,3,sell
9/17,2026-09-17,0051,群益金鼎-天母,0039003100380050,2,0,2,7.41,4,buy
9/17,2026-09-17,0051,國泰-台中,8882,4,5,-1,3.7,4,sell
9/17,2026-09-17,0051,富邦-港都,0039003600320051,2,0,2,7.41,5,buy
9/17,2026-09-17,0051,兆豐-來福,0037003000300043,0,1,-1,3.7,5,sell
9/17,2026-09-17,0051,台新-台北,0039004200320030,2,0,2,7.41,6,buy
9/17,2026-09-17,0051,兆豐-東門,0037003000300048,0,1,-1,3.7,6,sell
9/17,2026-09-17,0051,富邦證券,9600,2,0,2,7.41,7,buy
9/17,2026-09-17,0051,國泰-敦南,8888,0,1,-1,3.7,7,sell
9/17,2026-09-17,0051,國泰證券,8880,1,0,1,3.7,8,buy
9/17,2026-09-17,0051,國泰-館前,0038003800380041,0,0,0,0.0,8,sell
9/17,2026-09-17,0051,玉山證券,8840,1,0,1,3.7,9,buy
9/17,2026-09-17,0051,永豐金證券,0039004100300030,0,1,-1,3.7,9,sell
9/17,2026-09-17,0051,華南永昌-彰化,9363,0,0,0,0.0,10,buy
9/17,2026-09-17,0051,永豐金-板盛,0039004100390059,0,0,0,0.0,10,sell
9/17,2026-09-17,0051,新光,8560,0,0,0,0.0,11,buy
9/17,2026-09-17,0051,臺銀,1040,0,0,0,0.0,11,sell
9/17,2026-09-17,0051,永豐金-萬盛,0039004100390032,0,0,0,0.0,12,buy
9/17,2026-09-17,0051,臺銀-臺中,0031003000340041,0,0,0,0.0,12,sell
9/17,2026-09-17,0051,台新-台中,0039004200310068,0,0,0,0.0,13,buy
9/17,2026-09-17,0051,永豐金-台中,003900410039004c,0,0,0,0.0,13,sell
9/17,2026-09-17,0051,群益金鼎-東湖,003900310038004b,0,0,0,0.0,14,buy
9/17,2026-09-17,0051,元大-花蓮,9856,0,0,0,0.0,14,sell
9/17,2026-09-17,0051,元大-館前,003900380034004b,0,0,0,0.0,15,buy
9/17,2026-09-17,0051,元大-汐止,0039003800390051,0,0,0,0.0,15,sell
9/17,2026-09-17,0052,中國信託,6160,2074,74,2000,17.05,1,buy
9/17,2026-09-17,0052,國泰-敦南,8888,110,445,-335,2.86,1,sell
9/17,2026-09-17,0052,元大證券,9800,1203,784,419,3.57,2,buy
9/17,2026-09-17,0052,康和,8450,20,227,-207,1.76,2,sell
9/17,2026-09-17,0052,永豐金證券,0039004100300030,1177,760,417,3.55,3,buy
9/17,2026-09-17,0052,新加坡商瑞銀,1650,29,182,-153,1.3,3,sell
9/17,2026-09-17,0052,富邦證券,9600,532,216,316,2.69,4,buy
9/17,2026-09-17,0052,新光-台南,8564,15,144,-129,1.1,4,sell
9/17,2026-09-17,0052,華南永昌-虎尾,9377,273,0,273,2.33,5,buy
9/17,2026-09-17,0052,國泰-館前,0038003800380041,9,117,-108,0.92,5,sell
9/17,2026-09-17,0052,合庫-台中,1021,143,7,136,1.16,6,buy
9/17,2026-09-17,0052,永豐金-板新,003900410039004a,13,113,-100,0.85,6,sell
9/17,2026-09-17,0052,台新,0039004200300030,231,99,132,1.13,7,buy
