date,trade_date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
9/14,2026-09-14,0050,元大證券,9800,16100,2988,13112,14.26,1,buy
9/14,2026-09-14,0050,凱基-台北,9268,2336,35106,-32770,35.64,1,sell
9/14,2026-09-14,0050,國泰證券,8880,2915,16,2899,3.15,2,buy
9/14,2026-09-14,0050,永豐金證券,0039004100300030,2533,16541,-14008,15.23,2,sell
9/14,2026-09-14,0050,中國信託,6160,4156,1500,2656,2.89,3,buy
9/14,2026-09-14,0050,富邦證券,9600,815,5105,-4290,4.67,3,sell
9/14,2026-09-14,0050,國泰-敦南,8888,3905,1527,2378,2.59,4,buy
9/14,2026-09-14,0050,法銀巴黎,8900,4,3178,-3174,3.45,4,sell
9/14,2026-09-14,0050,富邦-永和,9654,1107,45,1062,1.15,5,buy
9/14,2026-09-14,0050,凱基,9200,1830,3572,-1742,1.89,5,sell
9/14,2026-09-14,0050,台新,0039004200300030,1432,812,620,0.67,6,buy
9/14,2026-09-14,0050,台灣企銀-太平,1115,16,458,-442,0.48,6,sell
9/14,2026-09-14,0050,凱基-興隆,9289,560,3,557,0.61,7,buy
9/14,2026-09-14,0050,台灣摩根士丹利,1470,57,432,-375,0.41,7,sell
9/14,2026-09-14,0050,元大-館前,003900380034004b,584,37,547,0.59,8,buy
9/14,2026-09-14,0050,康和,8450,15,328,-313,0.34,8,sell
9/14,2026-09-14,0050,新加坡商瑞銀,1650,1022,572,450,0.49,9,buy
9/14,2026-09-14,0050,土銀,1030,133,404,-271,0.29,9,sell
9/14,2026-09-14,0050,國泰-台中,8882,571,184,387,0.42,10,buy
9/14,2026-09-14,0050,臺銀-臺中,0031003000340041,143,317,-174,0.19,10,sell
9/14,2026-09-14,0050,永豐金-台南,0039004100390068,418,45,373,0.41,11,buy
9/14,2026-09-14,0050,大昌-新竹,6463,12,176,-164,0.18,11,sell
9/14,2026-09-14,0050,統一,5850,456,84,372,0.4,12,buy
9/14,2026-09-14,0050,富邦-三重,9677,103,208,-105,0.11,12,sell
9/14,2026-09-14,0050,富邦-台北,9623,409,41,368,0.4,13,buy
9/14,2026-09-14,0050,元大-新盛,9869,63,162,-99,0.11,13,sell
9/14,2026-09-14,0050,華南永昌,9300,437,78,359,0.39,14,buy
9/14,2026-09-14,0050,台中銀-台北,6115,8,63,-55,0.06,14,sell
9/14,2026-09-14,0050,國泰-板橋,003800380038004b,499,150,349,0.38,15,buy
9/14,2026-09-14,0050,永豐金-忠孝,0039004100390044,56,110,-54,0.06,15,sell
9/14,2026-09-14,0051,國泰-台中,8882,11,6,5,7.14,1,buy
9/14,2026-09-14,0051,群益金鼎,9100,0,25,-25,35.71,1,sell
9/14,2026-09-14,0051,富邦證券,9600,4,0,4,5.71,2,buy
9/14,2026-09-14,0051,合庫證券,1020,0,3,-3,4.29,2,sell
9/14,2026-09-14,0051,國泰證券,8880,3,0,3,4.29,3,buy
9/14,2026-09-14,0051,群益金鼎-天母,0039003100380050,1,4,-3,4.29,3,sell
9/14,2026-09-14,0051,永豐金證券,0039004100300030,2,0,2,2.86,4,buy
9/14,2026-09-14,0051,中國信託,6160,1,4,-3,4.29,4,sell
9/14,2026-09-14,0051,凱基-信義,9216,2,0,2,2.86,5,buy
9/14,2026-09-14,0051,玉山-高雄,8843,0,1,-1,1.43,5,sell
9/14,2026-09-14,0051,華南永昌-彰化,9363,3,2,1,1.43,6,buy
9/14,2026-09-14,0051,康和-板橋,0038003400350044,0,1,-1,1.43,6,sell
9/14,2026-09-14,0051,中國信託-新竹,6165,1,0,1,1.43,7,buy
9/14,2026-09-14,0051,玉山證券,8840,0,1,-1,1.43,7,sell
9/14,2026-09-14,0051,凱基,9200,1,0,1,1.43,8,buy
9/14,2026-09-14,0051,亞東,2180,0,0,0,0.0,8,sell
9/14,2026-09-14,0051,台新,0039004200300030,1,0,1,1.43,9,buy
9/14,2026-09-14,0051,台灣企銀-埔墘,0031003100310047,0,0,0,0.0,9,sell
9/14,2026-09-14,0051,玉山-左營,0038003800340044,1,0,1,1.43,10,buy
9/14,2026-09-14,0051,凱基-民權,0039003200310043,0,0,0,0.0,10,sell
9/14,2026-09-14,0051,台新-新店,0039004200320032,1,0,1,1.43,11,buy
9/14,2026-09-14,0051,富邦-岡山,9616,0,0,0,0.0,11,sell
9/14,2026-09-14,0051,兆豐-台中,7003,1,0,1,1.43,12,buy
9/14,2026-09-14,0051,臺銀,1040,0,0,0,0.0,12,sell
9/14,2026-09-14,0051,元大-信義,003900380039006d,1,0,1,1.43,13,buy
9/14,2026-09-14,0051,元大-基隆,0039003800390059,0,0,0,0.0,13,sell
9/14,2026-09-14,0051,元大-六合,0039003800320043,1,0,1,1.43,14,buy
