date,trade_date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side
8/24,2026-08-24,0050,元大證券,9800,10666,3776,6890,16.67,1,buy
8/24,2026-08-24,0050,永豐金證券,0039004100300030,737,5525,-4788,11.58,1,sell
8/24,2026-08-24,0050,第一金,5380,3552,24,3528,8.53,2,buy
8/24,2026-08-24,0050,法銀巴黎,8900,9,1263,-1254,3.03,2,sell
8/24,2026-08-24,0050,凱基-台北,9268,2943,305,2638,6.38,3,buy
8/24,2026-08-24,0050,台新,0039004200300030,220,868,-648,1.57,3,sell
8/24,2026-08-24,0050,中國信託,6160,2133,512,1621,3.92,4,buy
8/24,2026-08-24,0050,國泰-敦南,8888,1065,1551,-486,1.18,4,sell
8/24,2026-08-24,0050,美商高盛,1480,1528,705,823,1.99,5,buy
8/24,2026-08-24,0050,國泰-館前,0038003800380041,111,475,-364,0.88,5,sell
8/24,2026-08-24,0050,國泰證券,8880,838,35,803,1.94,6,buy
8/24,2026-08-24,0050,玉山證券,8840,130,486,-356,0.86,6,sell
8/24,2026-08-24,0050,統一,5850,758,300,458,1.11,7,buy
8/24,2026-08-24,0050,華南永昌,9300,57,392,-335,0.81,7,sell
8/24,2026-08-24,0050,國票-安和,003700370039005a,460,28,432,1.04,8,buy
8/24,2026-08-24,0050,元大-內湖,003900380039004e,11,255,-244,0.59,8,sell
8/24,2026-08-24,0050,富邦證券,9600,1348,1118,230,0.56,9,buy
8/24,2026-08-24,0050,摩根大通,8440,0,223,-223,0.54,9,sell
8/24,2026-08-24,0050,凱基-大直,9218,202,9,193,0.47,10,buy
8/24,2026-08-24,0050,國泰-台南,8884,46,222,-176,0.43,10,sell
8/24,2026-08-24,0050,台新-板橋,0039004200320062,198,49,149,0.36,11,buy
8/24,2026-08-24,0050,元大-永春,9852,23,199,-176,0.43,11,sell
8/24,2026-08-24,0050,華南永昌-內壢,9337,136,11,125,0.3,12,buy
8/24,2026-08-24,0050,大昌-新店,6464,55,213,-158,0.38,12,sell
8/24,2026-08-24,0050,凱基,9200,98,0,98,0.24,13,buy
8/24,2026-08-24,0050,元大-大天母,9893,23,173,-150,0.36,13,sell
8/24,2026-08-24,0050,富邦-竹北,9624,135,37,98,0.24,14,buy
8/24,2026-08-24,0050,群益金鼎-內湖,0039003100380064,10,157,-147,0.36,14,sell
8/24,2026-08-24,0050,群益金鼎-桃園,9189,107,14,93,0.22,15,buy
8/24,2026-08-24,0050,聯邦證券,8580,12,154,-142,0.34,15,sell
8/24,2026-08-24,0051,中國信託-中壢,0036003100360041,2,0,2,8.0,1,buy
8/24,2026-08-24,0051,台新,0039004200300030,1,5,-4,16.0,1,sell
8/24,2026-08-24,0051,玉山-城中,0038003800340045,2,0,2,8.0,2,buy
8/24,2026-08-24,0051,元大證券,9800,2,5,-3,12.0,2,sell
8/24,2026-08-24,0051,國泰證券,8880,1,0,1,4.0,3,buy
8/24,2026-08-24,0051,元大-台中,9812,0,2,-2,8.0,3,sell
8/24,2026-08-24,0051,富邦-建國,9658,1,0,1,4.0,4,buy
8/24,2026-08-24,0051,凱基-大里,0039003200300057,0,1,-1,4.0,4,sell
8/24,2026-08-24,0051,富邦-中壢,9636,1,0,1,4.0,5,buy
8/24,2026-08-24,0051,國泰-敦南,8888,0,1,-1,4.0,5,sell
8/24,2026-08-24,0051,群益金鼎-天母,0039003100380050,1,0,1,4.0,6,buy
8/24,2026-08-24,0051,玉山-數位,003800380034004d,0,1,-1,4.0,6,sell
8/24,2026-08-24,0051,富邦證券,9600,1,0,1,4.0,7,buy
8/24,2026-08-24,0051,凱基-民權,0039003200310043,0,0,0,0.0,7,sell
8/24,2026-08-24,0051,兆豐-台中港,7005,1,0,1,4.0,8,buy
8/24,2026-08-24,0051,元大-高雄,003900380031006d,0,0,0,0.0,8,sell
8/24,2026-08-24,0051,富邦-南京,0039003600310043,0,0,0,0.0,9,buy
8/24,2026-08-24,0051,國泰-台中,8882,2,2,0,0.0,9,sell
8/24,2026-08-24,0051,凱基,9200,0,0,0,0.0,10,buy
8/24,2026-08-24,0051,元大-新店中正,0039003800340043,0,0,0,0.0,10,sell
8/24,2026-08-24,0051,國泰-板橋,003800380038004b,0,0,0,0.0,11,buy
8/24,2026-08-24,0051,元大-苑裡,0039003800390061,0,0,0,0.0,11,sell
8/24,2026-08-24,0051,凱基-文心,9297,0,0,0,0.0,12,buy
8/24,2026-08-24,0051,華南永昌-彰化,9363,1,1,0,0.0,12,sell
8/24,2026-08-24,0051,國泰-忠孝,8887,0,0,0,0.0,13,buy
8/24,2026-08-24,0051,兆豐-板橋,0037003000300042,0,0,0,0.0,13,sell
8/24,2026-08-24,0051,玉山-大里,003800380034004a,0,0,0,0.0,14,buy
8/24,2026-08-24,0051,元大-南勢角,0039003800340045,0,0,0,0.0,14,sell
8/24,2026-08-24,0051,永豐金-台中,003900410039004c,0,0,0,0.0,15,buy
8/24,2026-08-24,0051,永豐金-桃盛,003900410039004e,0,0,0,0.0,15,sell
8/24,2026-08-24,0052,凱基-台北,9268,1845,148,1697,18.69,1,buy
8/24,2026-08-24,0052,合庫-台中,1021,2,637,-635,6.99,1,sell
8/24,2026-08-24,0052,富邦證券,9600,1300,3,1297,14.29,2,buy
8/24,2026-08-24,0052,永豐金-忠孝,0039004100390044,0,488,-488,5.38,2,sell
8/24,2026-08-24,0052,元大證券,9800,1207,532,675,7.43,3,buy
8/24,2026-08-24,0052,台新,0039004200300030,312,620,-308,3.39,3,sell
8/24,2026-08-24,0052,中國信託,6160,354,15,339,3.73,4,buy
8/24,2026-08-24,0052,統一-桃園,0035003800350048,0,200,-200,2.2,4,sell
8/24,2026-08-24,0052,兆豐證券,7000,300,10,290,3.19,5,buy
